playerName,kicks W Mean,kicks FP,kicks Scalar,handballs W Mean,handballs FP,handballs Scalar,marks W Mean,marks FP,marks Scalar,tackles W Mean,tackles FP,tackles Scalar,freesFor W Mean,freesFor FP,freesFor Scalar,freesAgainst W Mean,freesAgainst FP,freesAgainst Scalar,goals W Mean,goals FP,goals Scalar,behinds W Mean,behinds FP,behinds Scalar,disposals W Mean,disposals Scalar,uncontestedPossessions W Mean,uncontestedPossessions Scalar,contestedPossessions W Mean,contestedPossessions Scalar,contestedMarks W Mean,contestedMarks Scalar,uncontestedMarks W Mean,uncontestedMarks Scalar,clearances.totalClearances W Mean,clearances.totalClearances Scalar,inside50s W Mean,inside50s Scalar,marksInside50 W Mean,marksInside50 Scalar,disposalEfficiency W Mean,disposalEfficiency Scalar,rebound50s W Mean,rebound50s Scalar,goalAssists W Mean,goalAssists Scalar,tacklesInside50 W Mean,tacklesInside50 Scalar,metresGained W Mean,metresGained Scalar,extendedStats.groundBallGets W Mean,extendedStats.groundBallGets Scalar,extendedStats.scoreLaunches W Mean,extendedStats.scoreLaunches Scalar,extendedStats.centreBounceAttendances W Mean,extendedStats.centreBounceAttendances Scalar,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints Scalar,dreamTeamPoints FP
Jeremy Cameron,15.0,45.0,47.7,7.5,15.0,-11.46,8.0,24.0,118.82,2.0,8.0,-42.92,1.5,1.5,63.76,0.5,-1.5,-41.25,2.0,12.0,353.51,2.0,2.0,443.48,22.5,20.79,14.5,28.67,6.5,-11.8,1.5,557.89,6.5,89.61,0.5,-82.41,4.5,48.76,3.0,677.2,63.3,-10.44,0.5,-65.89,0.0,-100.0,1.0,93.8,350.0,21.96,3.5,-33.08,0.5,-56.33,1.0,-89.39,106.0,-0.0,42.8,106.0
Jhye Clark,7.0,21.0,-31.08,6.0,12.0,-29.17,2.0,6.0,-45.3,3.0,12.0,-14.38,0.0,0.0,-100.0,2.0,-6.0,135.02,0.0,0.0,-100.0,0.0,0.0,-100.0,13.0,-30.21,5.0,-55.63,9.0,22.12,0.0,-100.0,2.0,-41.66,4.0,40.7,2.0,-33.88,0.0,-100.0,76.9,8.8,2.0,36.43,0.0,-100.0,0.0,-100.0,229.0,-20.2,9.0,72.08,1.0,-12.66,20.0,112.25,45.0,-0.0,-39.38,45.0
Joel Selwood,10.55,31.65,3.88,11.18,22.36,31.98,2.82,8.46,-22.87,3.36,13.44,-4.11,1.45,1.45,58.3,1.64,-4.92,92.71,0.36,2.16,-18.37,0.09,0.09,-75.54,21.73,16.66,12.27,8.88,9.91,34.46,0.0,-100.0,2.82,-17.74,5.73,101.55,3.09,2.15,0.36,-6.74,67.52,-4.47,1.27,-13.37,0.64,54.59,0.18,-65.12,262.45,-8.54,6.27,19.89,2.0,74.67,16.27,72.66,74.73,-0.0,0.67,74.69
Jordan Dawson,15.56,46.68,53.21,8.4,16.8,-0.84,4.74,14.22,29.65,6.61,26.44,88.64,0.92,0.92,0.44,1.18,-3.54,38.66,0.46,2.76,4.31,0.28,0.28,-23.91,23.96,28.63,15.35,36.21,7.71,4.61,0.88,285.96,3.87,12.89,3.1,9.04,5.04,66.61,0.23,-40.41,69.18,-2.12,1.94,32.33,0.37,-10.63,0.33,-36.05,467.0,62.73,4.74,-9.37,1.1,-3.93,17.15,82.0,104.55,-4.2,40.84,104.56
Jordan De Goey,12.22,36.66,20.32,10.38,20.76,22.54,4.12,12.36,12.69,3.92,15.68,11.87,1.14,1.14,24.45,1.7,-5.1,99.76,0.75,4.5,70.07,0.71,0.71,92.93,22.6,21.33,13.19,17.05,9.43,27.95,0.25,9.65,3.87,12.89,4.68,64.61,5.24,73.22,0.63,63.21,64.68,-8.49,0.96,-34.52,0.91,119.81,0.34,-34.11,413.72,44.17,5.67,8.41,0.9,-21.4,19.64,108.43,86.73,-0.25,16.84,86.71
Josh Carmichael,13.0,39.0,28.0,4.0,8.0,-52.78,1.0,3.0,-72.65,0.0,0.0,-100.0,0.0,0.0,-100.0,1.0,-3.0,17.51,0.0,0.0,-100.0,1.0,1.0,171.74,17.0,-8.73,5.0,-55.63,10.0,35.69,0.0,-100.0,1.0,-70.83,1.0,-64.83,1.0,-66.94,0.0,-100.0,35.3,-50.06,0.0,-100.0,0.0,-100.0,0.0,-100.0,210.0,-26.82,8.0,52.96,0.0,-100.0,1.0,-89.39,48.0,-0.0,-35.34,48.0
Josh Dunkley,12.32,36.96,21.31,13.37,26.74,57.83,5.57,16.71,52.35,6.32,25.28,80.37,1.48,1.48,61.57,0.7,-2.1,-17.74,0.25,1.5,-43.31,0.27,0.27,-26.63,25.69,37.92,14.8,31.33,11.06,50.07,0.4,75.44,5.17,50.82,4.73,66.37,3.78,24.96,0.38,-1.55,71.76,1.53,1.23,-16.1,0.45,8.7,1.24,140.31,302.74,5.5,7.94,51.82,1.55,35.37,21.97,133.15,106.92,1.01,44.03,106.84
Josh Kelly,13.53,40.59,33.22,11.57,23.14,36.58,4.17,12.51,14.06,3.97,15.88,13.3,0.41,0.41,-55.24,0.61,-1.83,-28.32,0.9,5.4,104.08,0.41,0.41,11.41,25.1,34.75,16.72,48.37,8.18,10.99,0.0,-100.0,4.16,21.35,3.32,16.78,4.79,58.35,0.47,21.76,72.91,3.16,2.2,50.07,0.33,-20.29,0.51,-1.16,458.87,59.9,6.76,29.25,1.2,4.8,12.03,27.67,96.47,-4.52,29.96,96.51
Josh Morris,5.0,15.0,-50.77,5.0,10.0,-40.98,2.0,6.0,-45.3,1.0,4.0,-71.46,2.0,2.0,118.34,0.0,-0.0,-100.0,0.0,0.0,-100.0,0.0,0.0,-100.0,10.0,-46.31,8.0,-29.01,3.0,-59.29,0.0,-100.0,2.0,-41.66,0.0,-100.0,2.0,-33.88,0.0,-100.0,50.0,-29.26,2.0,36.43,0.0,-100.0,0.0,-100.0,255.0,-11.14,1.0,-80.88,0.0,-100.0,0.0,-100.0,37.0,-0.0,-50.16,37.0
Josh P. Kennedy,6.0,18.0,-40.92,6.0,12.0,-29.17,2.0,6.0,-45.3,3.0,12.0,-14.38,0.0,0.0,-100.0,1.0,-3.0,17.51,0.0,0.0,-100.0,0.0,0.0,-100.0,12.0,-35.58,10.0,-11.26,0.0,-100.0,0.0,-100.0,2.0,-41.66,0.0,-100.0,0.0,-100.0,0.0,-100.0,75.0,6.12,2.0,36.43,0.0,-100.0,0.0,-100.0,127.0,-55.74,0.0,-100.0,2.0,74.67,0.0,-100.0,45.0,-0.0,-39.38,45.0
Josh Rachele,11.5,34.5,13.23,7.25,14.5,-14.41,5.5,16.5,50.44,3.25,13.0,-7.25,1.0,1.0,9.17,1.25,-3.75,46.89,1.5,9.0,240.14,1.0,1.0,171.74,18.75,0.66,13.5,19.8,6.0,-18.59,0.25,9.65,5.25,53.15,1.0,-64.83,4.0,32.23,1.5,288.6,70.8,0.17,0.75,-48.84,0.0,-100.0,1.25,142.25,347.75,21.18,3.75,-28.3,0.25,-78.17,12.25,30.0,85.75,-0.0,15.52,85.75
Josh Ward,5.93,17.79,-41.61,11.52,23.04,35.99,5.05,15.15,38.13,1.83,7.32,-47.77,0.02,0.02,-97.82,0.02,-0.06,-97.65,0.0,0.0,-100.0,0.0,0.0,-100.0,17.45,-6.32,13.57,20.42,3.88,-47.35,0.0,-100.0,5.05,47.32,1.88,-33.87,2.0,-33.88,0.02,-94.82,76.99,8.93,1.1,-24.97,0.9,117.39,0.86,66.67,190.57,-33.59,3.76,-28.11,1.81,58.08,8.02,-14.89,63.26,-4.75,-14.78,63.26
Josh Worrell,12.0,36.0,18.16,9.0,18.0,6.24,3.0,9.0,-17.94,2.0,8.0,-42.92,2.0,2.0,118.34,0.0,-0.0,-100.0,0.0,0.0,-100.0,0.0,0.0,-100.0,21.0,12.74,11.0,-2.39,7.0,-5.02,0.0,-100.0,3.0,-12.49,0.0,-100.0,1.0,-66.94,0.0,-100.0,85.7,21.25,4.0,172.85,0.0,-100.0,0.0,-100.0,264.0,-8.0,5.0,-4.4,1.0,-12.66,0.0,-100.0,73.0,-0.0,-1.66,73.0
Justin McInerney,9.0,27.0,-11.38,8.0,16.0,-5.56,4.0,12.0,9.41,0.0,0.0,-100.0,0.0,0.0,-100.0,0.0,-0.0,-100.0,0.0,0.0,-100.0,0.0,0.0,-100.0,17.0,-8.73,12.0,6.49,4.0,-45.73,0.0,-100.0,4.0,16.69,0.0,-100.0,4.0,32.23,0.0,-100.0,58.8,-16.81,1.0,-31.79,1.0,141.55,0.0,-100.0,190.0,-33.79,4.0,-23.52,2.0,74.67,0.0,-100.0,55.0,-0.0,-25.91,55.0
Jy Simpkin,12.49,37.47,22.98,9.31,18.62,9.9,3.12,9.36,-14.66,3.34,13.36,-4.68,1.33,1.33,45.2,1.66,-4.98,95.06,0.64,3.84,45.12,0.29,0.29,-21.2,21.79,16.98,12.57,11.54,9.52,29.17,0.2,-12.28,2.92,-14.82,4.17,46.68,4.36,44.13,0.75,94.3,67.74,-4.16,1.02,-30.42,0.54,30.43,0.53,2.71,338.08,17.81,6.02,15.11,1.08,-5.68,16.41,74.15,79.28,-10.9,6.8,79.29
Jye Caldwell,11.0,33.0,8.31,11.88,23.76,40.24,4.09,12.27,11.87,5.9,23.6,68.38,1.39,1.39,51.75,1.07,-3.21,25.73,0.32,1.92,-27.44,0.5,0.5,35.87,22.89,22.89,13.84,22.81,9.36,27.0,0.29,27.19,3.8,10.85,4.5,58.28,3.73,23.31,0.3,-22.28,74.16,4.93,1.5,2.32,0.51,23.19,0.7,35.66,322.47,12.37,6.21,18.74,1.49,30.13,13.56,43.9,93.25,9.98,25.62,93.23
Jye Menzie,6.79,20.37,-33.14,9.11,18.22,7.54,3.07,9.21,-16.03,2.07,8.28,-40.92,0.04,0.04,-95.63,0.04,-0.12,-95.3,1.07,6.42,142.63,0.11,0.11,-70.11,15.89,-14.69,9.43,-16.32,7.39,0.27,0.07,-69.3,3.0,-12.49,0.04,-98.59,2.82,-6.78,1.0,159.07,56.16,-20.54,0.86,-41.34,0.07,-83.09,0.18,-65.12,250.43,-12.73,7.21,37.86,0.04,-96.51,0.0,-100.0,62.54,6.23,-15.75,62.53
Kaine Baldwin,9.0,27.0,-11.38,5.0,10.0,-40.98,9.0,27.0,146.17,0.0,0.0,-100.0,0.0,0.0,-100.0,0.0,-0.0,-100.0,0.0,0.0,-100.0,0.0,0.0,-100.0,14.0,-24.84,10.0,-11.26,4.0,-45.73,1.0,338.6,8.0,133.37,1.0,-64.83,1.0,-66.94,0.0,-100.0,85.7,21.25,3.0,104.64,0.0,-100.0,0.0,-100.0,95.0,-66.9,3.0,-42.64,3.0,162.01,0.0,-100.0,64.0,-0.0,-13.78,64.0
Karl Amon,15.0,45.0,47.7,6.0,12.0,-29.17,5.0,15.0,36.76,1.0,4.0,-71.46,1.0,1.0,9.17,0.0,-0.0,-100.0,0.0,0.0,-100.0,0.0,0.0,-100.0,21.0,12.74,15.0,33.11,3.0,-59.29,0.0,-100.0,5.0,45.86,0.0,-100.0,2.0,-33.88,0.0,-100.0,90.5,28.05,8.0,445.7,2.0,383.09,0.0,-100.0,628.0,118.84,3.0,-42.64,1.0,-12.66,0.0,-100.0,77.0,-0.0,3.73,77.0
Kayne Turner,4.0,12.0,-60.61,4.0,8.0,-52.78,1.0,3.0,-72.65,9.0,36.0,156.85,1.0,1.0,9.17,0.0,-0.0,-100.0,0.0,0.0,-100.0,0.0,0.0,-100.0,8.0,-57.05,4.0,-64.5,4.0,-45.73,0.0,-100.0,1.0,-70.83,1.0,-64.83,1.0,-66.94,0.0,-100.0,62.5,-11.57,0.0,-100.0,0.0,-100.0,1.0,93.8,93.0,-67.59,3.0,-42.64,0.0,-100.0,0.0,-100.0,60.0,-0.0,-19.17,60.0
Keidean Coleman,14.0,42.0,37.85,5.0,10.0,-40.98,9.0,27.0,146.17,4.0,16.0,14.16,2.0,2.0,118.34,1.0,-3.0,17.51,0.0,0.0,-100.0,0.0,0.0,-100.0,19.0,2.0,12.0,6.49,7.0,-5.02,0.0,-100.0,9.0,162.54,0.0,-100.0,1.0,-66.94,0.0,-100.0,94.7,33.99,5.0,241.06,0.0,-100.0,0.0,-100.0,317.0,10.46,5.0,-4.4,0.0,-100.0,0.0,-100.0,94.0,-0.0,26.63,94.0
Kyle Langford,8.0,24.0,-21.23,10.0,20.0,18.05,5.0,15.0,36.76,7.0,28.0,99.77,0.0,0.0,-100.0,0.0,-0.0,-100.0,1.0,6.0,126.76,0.0,0.0,-100.0,18.0,-3.37,16.0,41.98,2.0,-72.86,0.0,-100.0,5.0,45.86,1.0,-64.83,4.0,32.23,1.0,159.07,77.8,10.08,0.0,-100.0,0.0,-100.0,0.0,-100.0,286.0,-0.34,2.0,-61.76,1.0,-12.66,15.0,59.18,93.0,-0.0,25.28,93.0
Kysaiah Pickett,8.97,26.91,-11.68,2.37,4.74,-72.02,1.94,5.82,-46.94,5.2,20.8,48.4,1.4,1.4,52.84,0.68,-2.04,-20.09,1.42,8.52,222.0,1.92,1.92,421.74,11.34,-39.12,5.61,-50.22,5.64,-23.47,0.03,-86.84,1.91,-44.28,1.37,-51.81,3.42,13.06,1.4,262.69,63.62,-9.99,0.0,-100.0,0.5,20.77,2.76,434.88,222.01,-22.64,4.23,-19.12,0.5,-56.33,4.32,-54.15,68.07,21.25,-8.3,68.07
Lachie Ash,17.05,51.15,67.88,11.14,22.28,31.51,5.0,15.0,36.76,1.33,5.32,-62.04,0.05,0.05,-94.54,0.1,-0.3,-88.25,0.05,0.3,-88.66,0.05,0.05,-86.41,28.19,51.34,21.52,90.97,4.19,-43.15,0.05,-78.07,4.95,44.4,1.9,-33.17,2.19,-27.6,0.1,-74.09,76.26,7.9,6.52,344.75,0.1,-75.85,0.0,-100.0,490.76,71.01,3.95,-24.47,0.95,-17.03,0.33,-96.5,93.86,9.14,26.44,93.85
Lachie Hunter,12.5,37.5,23.08,10.0,20.0,18.05,3.0,9.0,-17.94,2.0,8.0,-42.92,0.0,0.0,-100.0,0.0,-0.0,-100.0,0.0,0.0,-100.0,0.0,0.0,-100.0,22.5,20.79,16.5,46.42,8.0,8.55,0.0,-100.0,3.0,-12.49,2.0,-29.65,3.0,-0.83,0.5,29.53,57.8,-18.22,1.5,2.32,0.0,-100.0,0.5,-3.1,423.0,47.4,5.5,5.16,1.0,-12.66,0.0,-100.0,74.5,-0.0,0.36,74.5
Lachie Neale,13.6,40.8,33.91,15.67,31.34,84.98,4.58,13.74,25.27,3.39,13.56,-3.25,1.39,1.39,51.75,1.16,-3.48,36.31,0.52,3.12,17.91,0.22,0.22,-40.22,29.27,57.14,15.36,36.3,13.76,86.7,0.08,-64.91,4.5,31.27,7.58,166.62,4.59,51.74,0.29,-24.87,74.9,5.97,1.13,-22.92,0.99,139.13,0.31,-39.92,343.33,19.64,10.21,95.22,2.02,76.42,23.77,152.26,100.7,-1.0,35.66,100.69
Lachie Schultz,11.86,35.58,16.78,2.14,4.28,-74.74,3.86,11.58,5.58,5.43,21.72,54.97,0.0,0.0,-100.0,0.86,-2.58,1.06,0.0,0.0,-100.0,1.14,1.14,209.78,14.0,-24.84,9.43,-16.32,3.0,-59.29,0.0,-100.0,3.86,12.6,1.0,-64.83,1.86,-38.51,0.14,-63.73,51.04,-27.79,0.0,-100.0,0.0,-100.0,4.57,785.66,267.86,-6.66,2.86,-45.32,0.86,-24.89,0.0,-100.0,71.71,22.58,-3.4,71.72
Lachlan Bramble,17.0,51.0,67.39,3.0,6.0,-64.59,7.5,22.5,105.14,0.5,2.0,-85.73,0.0,0.0,-100.0,0.0,-0.0,-100.0,0.5,3.0,13.38,0.5,0.5,35.87,20.0,7.37,19.0,68.6,1.0,-86.43,0.0,-100.0,7.5,118.79,0.5,-82.41,4.0,32.23,0.0,-100.0,65.65,-7.11,1.5,2.32,0.5,20.77,0.0,-100.0,512.5,78.59,1.0,-80.88,1.5,31.0,0.0,-100.0,85.0,-0.0,14.51,85.0
Laitham Vandermeer,6.0,18.0,-40.92,6.0,12.0,-29.17,4.0,12.0,9.41,3.0,12.0,-14.38,0.0,0.0,-100.0,0.0,-0.0,-100.0,1.0,6.0,126.76,1.0,1.0,171.74,12.0,-35.58,8.0,-29.01,5.0,-32.16,0.0,-100.0,4.0,16.69,0.0,-100.0,2.0,-33.88,2.0,418.13,58.3,-17.51,0.0,-100.0,0.0,-100.0,2.0,287.6,155.0,-45.99,5.0,-4.4,0.0,-100.0,0.0,-100.0,61.0,-0.0,-17.83,61.0
Liam Baker,12.35,37.05,21.6,9.0,18.0,6.24,3.5,10.5,-4.27,3.86,15.44,10.16,1.07,1.07,16.81,1.5,-4.5,76.26,0.79,4.74,79.14,0.5,0.5,35.87,21.36,14.67,12.64,12.17,8.86,20.22,0.0,-100.0,3.5,2.1,3.14,10.45,3.78,24.96,0.57,47.67,65.31,-7.6,1.36,-7.23,0.35,-15.46,0.57,10.47,322.14,12.26,5.79,10.71,2.0,74.67,12.36,31.17,82.78,9.22,11.52,82.8
Liam Henry,11.0,33.0,8.31,9.0,18.0,6.24,5.0,15.0,36.76,3.0,12.0,-14.38,0.0,0.0,-100.0,0.0,-0.0,-100.0,1.0,6.0,126.76,0.0,0.0,-100.0,20.0,7.37,10.0,-11.26,10.0,35.69,1.0,338.6,4.0,16.69,3.0,5.52,4.0,32.23,1.0,159.07,65.0,-8.03,0.0,-100.0,1.0,141.55,1.0,93.8,265.0,-7.66,9.0,72.08,0.0,-100.0,0.0,-100.0,84.0,-0.0,13.16,84.0
Liam Shiels,7.63,22.89,-24.87,5.86,11.72,-30.82,3.53,10.59,-3.45,3.0,12.0,-14.38,1.84,1.84,100.87,0.72,-2.16,-15.39,0.28,1.68,-36.51,0.28,0.28,-23.91,13.49,-27.58,8.39,-25.55,4.97,-32.56,0.56,145.61,2.98,-13.07,1.14,-59.9,2.44,-19.34,0.0,-100.0,69.27,-1.99,1.56,6.41,0.28,-32.37,0.42,-18.6,208.33,-27.4,3.14,-39.96,0.86,-24.89,0.05,-99.47,58.84,-1.93,-20.73,58.84
Liam Stocker,8.0,24.0,-21.23,3.5,7.0,-58.68,4.5,13.5,23.09,2.0,8.0,-42.92,1.5,1.5,63.76,1.0,-3.0,17.51,0.0,0.0,-100.0,0.0,0.0,-100.0,11.5,-38.26,7.0,-37.88,4.0,-45.73,0.0,-100.0,4.5,31.27,0.0,-100.0,1.0,-66.94,0.0,-100.0,87.5,23.8,3.5,138.74,0.0,-100.0,0.0,-100.0,155.5,-45.81,3.0,-42.64,1.5,31.0,0.0,-100.0,51.0,-0.0,-31.3,51.0
Lincoln McCarthy,6.0,18.0,-40.92,5.0,10.0,-40.98,2.0,6.0,-45.3,3.0,12.0,-14.38,1.0,1.0,9.17,2.0,-6.0,135.02,0.0,0.0,-100.0,1.0,1.0,171.74,11.0,-40.95,8.0,-29.01,4.0,-45.73,1.0,338.6,1.0,-70.83,2.0,-29.65,0.0,-100.0,0.0,-100.0,72.7,2.86,0.0,-100.0,0.0,-100.0,1.0,93.8,202.0,-29.61,2.0,-61.76,1.0,-12.66,0.0,-100.0,42.0,-0.0,-43.42,42.0
Lloyd Meek,3.0,9.0,-70.46,7.0,14.0,-17.37,0.0,0.0,-100.0,6.0,24.0,71.23,0.0,0.0,-100.0,1.0,-3.0,17.51,0.0,0.0,-100.0,1.0,1.0,171.74,10.0,-46.31,6.0,-46.76,5.0,-32.16,0.0,-100.0,0.0,-100.0,1.0,-64.83,1.0,-66.94,0.0,-100.0,60.0,-15.11,0.0,-100.0,0.0,-100.0,2.0,287.6,17.0,-94.08,2.0,-61.76,0.0,-100.0,9.0,-4.49,60.0,-0.0,-19.17,45.0
Luke Davies-Uniacke,13.56,40.68,33.52,14.1,28.2,66.45,3.72,11.16,1.75,3.98,15.92,13.58,1.12,1.12,22.27,1.35,-4.05,58.64,0.49,2.94,11.11,0.21,0.21,-42.93,27.66,48.49,15.65,38.88,12.57,70.56,0.05,-78.07,3.67,7.06,6.38,124.41,5.25,73.55,0.15,-61.14,73.95,4.63,1.64,11.87,0.61,47.34,0.18,-65.12,400.2,39.46,8.7,66.35,1.01,-11.79,24.45,159.47,96.16,-1.25,29.54,96.18
Luke Dunstan,6.5,19.5,-36.0,13.5,27.0,59.37,1.5,4.5,-58.97,4.0,16.0,14.16,0.5,0.5,-45.41,1.5,-4.5,76.26,0.0,0.0,-100.0,0.0,0.0,-100.0,20.0,7.37,12.0,6.49,8.5,15.33,0.0,-100.0,1.5,-56.24,4.0,40.7,3.0,-0.83,0.0,-100.0,73.45,3.92,0.5,-65.89,0.0,-100.0,1.0,93.8,219.5,-23.51,8.0,52.96,2.5,118.34,18.0,91.02,63.0,-0.0,-15.13,63.0
Luke Edwards,9.29,27.87,-8.53,6.57,13.14,-22.44,3.71,11.13,1.48,2.0,8.0,-42.92,0.0,0.0,-100.0,0.0,-0.0,-100.0,0.14,0.84,-68.25,0.0,0.0,-100.0,15.86,-14.85,11.43,1.43,3.57,-51.56,0.0,-100.0,3.71,8.23,2.14,-24.73,0.14,-95.37,1.0,159.07,74.76,5.78,1.0,-31.79,0.0,-100.0,0.14,-72.87,184.29,-35.78,3.43,-34.42,0.29,-74.67,1.71,-81.85,61.0,4.27,-17.83,60.98
Luke Foley,9.0,27.0,-11.38,4.0,8.0,-52.78,6.0,18.0,64.11,1.0,4.0,-71.46,2.0,2.0,118.34,1.0,-3.0,17.51,0.0,0.0,-100.0,1.0,1.0,171.74,13.0,-30.21,10.0,-11.26,5.0,-32.16,0.0,-100.0,6.0,75.03,0.0,-100.0,3.0,-0.83,1.0,159.07,61.5,-12.99,2.0,36.43,0.0,-100.0,0.0,-100.0,215.0,-25.08,3.0,-42.64,1.0,-12.66,0.0,-100.0,57.0,-0.0,-23.21,57.0
Luke Jackson,9.25,27.75,-8.92,5.5,11.0,-35.07,3.5,10.5,-4.27,3.25,13.0,-7.25,1.0,1.0,9.17,0.5,-1.5,-41.25,1.0,6.0,126.76,1.0,1.0,171.74,14.75,-20.81,7.0,-37.88,7.5,1.76,1.25,448.25,2.25,-34.36,3.5,23.11,3.25,7.44,1.0,159.07,72.1,2.01,0.75,-48.84,0.25,-39.61,1.0,93.8,272.0,-5.22,3.5,-33.08,3.0,162.01,11.5,22.04,84.0,-0.0,13.16,68.75
Luke Parker,9.41,28.23,-7.35,7.83,15.66,-7.57,3.09,9.27,-15.48,2.52,10.08,-28.08,1.88,1.88,105.24,1.01,-3.03,18.68,0.89,5.34,101.81,0.05,0.05,-86.41,17.24,-7.45,12.05,6.93,5.18,-29.72,0.06,-73.68,3.03,-11.61,1.75,-38.45,3.88,28.26,0.06,-84.46,73.96,4.64,1.04,-29.06,0.1,-75.85,0.95,84.11,252.44,-12.03,3.86,-26.2,0.33,-71.18,8.46,-10.22,67.47,-19.04,-9.11,67.48
Luke Shuey,12.35,37.05,21.6,10.22,20.44,20.65,2.55,7.65,-30.25,5.45,21.8,55.54,2.09,2.09,128.17,1.62,-4.86,90.36,0.24,1.44,-45.58,0.23,0.23,-37.5,22.56,21.11,13.64,21.04,8.91,20.9,0.0,-100.0,2.55,-25.61,5.11,79.74,3.45,14.05,0.0,-100.0,74.96,6.06,1.41,-3.82,0.63,52.17,0.27,-47.67,317.95,10.8,5.67,8.41,1.05,-8.3,14.36,52.39,85.77,0.32,15.54,85.84
Marcus Bontempelli,13.72,41.16,35.09,12.17,24.34,43.67,3.97,11.91,8.59,5.84,23.36,66.67,1.07,1.07,16.81,0.9,-2.7,5.76,1.32,7.92,199.32,0.75,0.75,103.8,25.89,38.99,13.64,21.04,13.65,85.21,0.74,224.56,3.23,-5.78,6.34,123.0,5.58,84.46,0.84,117.62,67.68,-4.24,1.4,-4.5,1.15,177.78,0.88,70.54,436.47,52.1,8.01,53.15,2.23,94.76,21.21,125.09,107.83,-0.25,45.26,107.81
Marcus Windhager,8.35,25.05,-17.78,8.97,17.94,5.89,2.3,6.9,-37.09,4.94,19.76,40.98,0.96,0.96,4.8,1.03,-3.09,21.03,0.04,0.24,-90.93,0.15,0.15,-59.24,17.31,-7.07,10.32,-8.42,8.05,9.23,0.07,-69.3,2.23,-34.95,2.87,0.95,2.0,-33.88,0.19,-50.78,66.04,-6.56,1.29,-12.01,0.15,-63.77,0.56,8.53,215.54,-24.89,5.92,13.19,0.95,-17.03,14.92,58.34,67.9,5.41,-8.53,67.91
Mark Blicavs,6.94,20.82,-31.67,9.69,19.38,14.39,3.44,10.32,-5.91,3.48,13.92,-0.68,0.7,0.7,-23.58,1.21,-3.63,42.19,0.3,1.8,-31.97,0.21,0.21,-42.93,16.63,-10.72,8.27,-26.61,7.85,6.51,0.67,193.86,2.77,-19.19,3.05,7.28,2.54,-16.03,0.64,65.8,64.56,-8.66,0.75,-48.84,0.23,-44.44,0.15,-70.93,202.81,-29.33,5.24,0.19,1.29,12.66,14.83,57.38,70.93,-11.86,-4.45,63.52
Mark O'Connor,6.29,18.87,-38.07,8.94,17.88,5.54,4.0,12.0,9.41,6.63,26.52,89.21,0.99,0.99,8.08,0.98,-2.94,15.16,0.42,2.52,-4.76,0.43,0.43,16.85,15.23,-18.24,6.8,-39.66,8.05,9.23,0.5,119.3,3.5,2.1,3.14,10.45,2.0,-33.88,0.42,8.81,68.96,-2.43,0.37,-74.76,0.01,-97.58,0.42,-18.6,185.31,-35.43,6.48,23.9,2.53,120.96,9.85,4.53,76.25,16.61,2.72,76.27
Marlion Pickett,7.57,22.71,-25.46,8.86,17.72,4.59,3.85,11.55,5.31,3.43,13.72,-2.11,0.43,0.43,-53.06,1.57,-4.71,84.49,0.0,0.0,-100.0,0.57,0.57,54.89,16.43,-11.79,10.0,-11.26,7.72,4.75,0.0,-100.0,3.85,12.31,2.0,-29.65,2.43,-19.67,0.57,47.67,65.5,-7.33,1.71,16.64,0.57,37.68,0.0,-100.0,320.43,11.66,5.72,9.37,0.28,-75.55,9.71,3.05,62.28,8.95,-16.1,61.99
Massimo D'Ambrosio,4.0,12.0,-60.61,5.0,10.0,-40.98,1.0,3.0,-72.65,4.0,16.0,14.16,1.0,1.0,9.17,1.0,-3.0,17.51,2.0,12.0,353.51,0.0,0.0,-100.0,9.0,-51.68,5.0,-55.63,4.0,-45.73,0.0,-100.0,1.0,-70.83,0.0,-100.0,2.0,-33.88,1.0,159.07,55.6,-21.33,0.0,-100.0,1.0,141.55,1.0,93.8,178.0,-37.97,3.0,-42.64,0.0,-100.0,0.0,-100.0,51.0,-0.0,-31.3,51.0
