team.name,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints,uncontestedPossessions W Mean,uncontestedPossessions,contestedPossessions W Mean,contestedPossessions,marks W Mean,marks,contestedMarks W Mean,contestedMarks,uncontestedMarks W Mean,uncontestedMarks,kicks W Mean,kicks,handballs W Mean,handballs,disposals W Mean,disposals,tackles W Mean,tackles,clearances.totalClearances W Mean,clearances.totalClearances,goals W Mean,goals,behinds W Mean,behinds,freesFor W Mean,freesFor,freesAgainst W Mean,freesAgainst,inside50s W Mean,inside50s,marksInside50 W Mean,marksInside50,disposalEfficiency W Mean,disposalEfficiency,rebound50s W Mean,rebound50s,goalAssists W Mean,goalAssists,tacklesInside50 W Mean,tacklesInside50,metresGained W Mean,metresGained,extendedStats.groundBallGets W Mean,extendedStats.groundBallGets,extendedStats.scoreLaunches W Mean,extendedStats.scoreLaunches,extendedStats.centreBounceAttendances W Mean,extendedStats.centreBounceAttendances
Adelaide Crows,268.66,-5.98,2.19,41.02,4.63,27.38,-8.38,10.72,2.14,0.78,44.18,9.94,-0.14,34.79,-0.65,34.3,0.98,69.09,0.16,15.46,13.58,10.89,-21.56,1.11,-21.78,1.05,-6.42,3.44,0.85,3.15,0.57,10.05,-14.78,0.98,-1.9,212.92,1.9,5.01,11.28,1.37,-18.55,1.73,3.1,938.28,-7.46,19.33,-6.94,3.68,-11.3,38.9,-22.7
Brisbane Lions,283.13,4.73,7.7,40.78,4.02,32.31,8.11,14.02,33.59,1.04,92.24,12.98,30.4,36.74,4.92,36.26,6.75,73.0,5.83,12.8,-5.96,15.11,8.83,1.66,16.98,1.1,-1.96,3.78,10.82,2.6,-16.99,11.84,0.4,1.2,20.12,214.79,2.79,3.53,-21.59,1.93,14.74,2.61,55.54,949.34,-6.37,23.42,12.75,4.98,20.03,52.77,4.86
Carlton,281.8,-0.37,7.19,41.8,6.62,35.12,17.52,8.98,-14.44,0.44,-18.67,8.52,-14.41,34.53,-1.39,42.26,24.41,76.78,11.31,16.14,18.58,16.66,19.99,1.33,-6.27,0.95,-15.33,3.96,16.09,3.86,23.24,12.82,8.71,0.69,-30.93,209.3,0.17,3.47,-22.92,1.55,-7.85,1.57,-6.44,985.72,-2.78,23.4,12.65,4.46,7.5,58.29,15.83
Collingwood,252.08,-0.95,-4.11,36.64,-6.54,28.59,-4.33,9.41,-10.34,0.35,-35.3,9.07,-8.88,34.83,-0.53,31.33,-7.76,66.14,-4.12,13.32,-2.14,14.11,1.63,1.58,11.35,1.21,7.84,3.22,-5.6,3.5,11.75,11.36,-3.67,1.12,12.11,198.3,-5.1,4.04,-10.26,1.62,-3.69,1.63,-2.86,1032.77,1.86,19.44,-6.41,3.68,-11.3,52.34,4.01
Essendon,282.13,1.29,7.32,44.76,14.17,27.24,-8.85,12.52,19.29,0.67,23.84,11.86,19.15,36.86,5.27,34.57,1.78,71.42,3.54,14.62,7.41,12.18,-12.27,1.29,-9.09,1.36,21.21,3.53,3.49,2.41,-23.05,12.71,7.78,0.93,-6.91,212.95,1.91,4.31,-4.26,1.58,-6.06,1.85,10.25,1064.61,5.0,18.4,-11.42,4.27,2.92,49.86,-0.92
Fremantle,283.93,-0.23,8.0,45.11,15.07,33.79,13.07,9.86,-6.05,0.35,-35.3,9.5,-4.56,36.37,3.87,42.36,24.71,78.74,14.15,14.25,4.69,17.7,27.48,1.23,-13.32,1.27,13.19,3.63,6.42,3.04,-2.94,12.32,4.47,0.9,-9.91,213.89,2.36,4.62,2.62,1.75,4.04,1.56,-7.03,1040.77,2.65,23.42,12.75,4.77,14.97,55.59,10.46
GWS GIANTS,263.01,-2.28,0.04,44.94,14.63,28.4,-4.97,9.16,-12.72,0.14,-74.12,9.02,-9.38,35.27,0.73,38.3,12.76,73.57,6.65,12.85,-5.59,12.65,-8.89,1.27,-10.5,0.74,-34.05,2.19,-35.8,2.95,-5.81,11.94,1.25,0.78,-21.92,212.33,1.62,5.61,24.61,1.59,-5.47,1.1,-34.45,1098.09,8.3,21.08,1.48,3.51,-15.4,52.22,3.77
Geelong Cats,232.88,-3.07,-11.42,30.5,-22.2,26.51,-11.29,10.22,-2.62,0.92,70.06,9.3,-6.57,33.6,-4.04,24.66,-27.4,58.25,-15.56,12.9,-5.22,12.22,-11.99,0.83,-41.51,0.84,-25.13,3.08,-9.7,3.47,10.79,11.04,-6.39,1.03,3.1,198.08,-5.2,5.31,17.95,1.08,-35.79,1.54,-8.22,1020.55,0.65,18.89,-9.06,4.44,7.01,46.31,-7.98
Gold Coast SUNS,277.64,-0.39,5.61,43.12,9.99,32.51,8.78,10.54,0.43,0.22,-59.33,10.32,3.68,38.22,9.15,37.08,9.16,75.29,9.15,12.41,-8.82,16.24,16.97,1.41,-0.63,0.97,-13.55,4.14,21.37,2.39,-23.69,13.55,14.9,0.69,-30.93,211.84,1.38,5.8,28.83,1.95,15.93,1.38,-17.76,1216.31,19.96,21.74,4.66,4.41,6.29,53.14,5.6
Hawthorn,229.41,-1.18,-12.74,35.26,-10.06,25.47,-14.77,10.36,-1.29,0.77,42.33,9.58,-3.76,30.14,-13.93,29.36,-13.56,59.49,-13.76,11.25,-17.35,10.74,-22.64,1.56,9.94,1.2,6.95,3.2,-6.19,3.3,5.36,11.1,-5.88,1.22,22.12,220.49,5.52,3.89,-13.59,2.18,29.61,1.65,-1.67,910.34,-10.21,17.04,-17.97,3.45,-16.85,35.44,-29.58
Melbourne,248.47,-9.3,-5.49,34.38,-12.3,30.66,2.59,9.63,-8.24,0.54,-0.18,9.1,-8.58,33.38,-4.67,31.79,-6.41,65.18,-5.51,13.37,-1.77,12.44,-10.4,1.32,-6.98,1.13,0.71,2.89,-15.27,3.2,2.17,12.63,7.1,1.09,9.11,193.66,-7.32,4.0,-11.15,2.06,22.47,2.27,35.28,1014.84,0.09,21.74,4.66,3.65,-12.03,44.97,-10.64
North Melbourne,245.13,0.31,-6.76,38.24,-2.46,28.18,-5.71,10.72,2.14,0.46,-14.97,10.26,3.07,34.42,-1.7,31.49,-7.29,65.9,-4.47,11.02,-19.04,13.24,-4.64,1.44,1.48,0.5,-55.44,3.29,-3.55,3.29,5.04,11.54,-2.15,0.96,-3.9,219.81,5.2,4.73,5.06,1.49,-11.41,1.06,-36.83,973.04,-4.03,19.32,-6.99,3.15,-24.08,49.6,-1.44
Port Adelaide,279.11,0.8,6.17,40.8,4.07,30.79,3.03,12.24,16.63,0.37,-31.61,11.87,19.25,38.7,10.52,33.23,-2.17,71.93,4.28,13.29,-2.36,14.87,7.1,1.81,27.55,1.58,40.82,3.94,15.51,3.24,3.45,12.78,8.37,1.15,15.12,209.22,0.13,3.85,-14.48,1.62,-3.69,1.92,14.42,1062.13,4.76,21.14,1.77,4.73,14.0,51.31,1.96
Richmond,241.9,-3.67,-7.99,37.69,-3.86,28.65,-4.13,9.95,-5.19,0.26,-51.94,9.69,-2.65,32.19,-8.07,34.04,0.21,66.23,-3.99,11.18,-17.86,12.68,-8.67,1.09,-23.19,1.23,9.63,2.99,-12.34,2.72,-13.15,9.68,-17.92,1.09,9.11,202.07,-3.29,4.76,5.73,1.42,-15.58,1.32,-21.33,904.07,-10.83,20.01,-3.67,3.11,-25.04,50.6,0.55
St Kilda,256.18,-4.1,-2.55,37.2,-5.11,26.71,-10.62,11.99,14.24,0.29,-46.4,11.7,17.54,32.05,-8.47,31.07,-8.53,63.12,-8.5,15.45,13.51,11.47,-17.39,0.79,-44.33,0.57,-49.2,2.98,-12.64,2.72,-13.15,8.83,-25.13,0.97,-2.9,213.42,2.14,4.78,6.18,1.09,-35.2,1.51,-10.01,828.38,-18.3,18.72,-9.88,3.9,-6.0,47.65,-5.31
Sydney Swans,276.47,-0.05,5.16,38.42,-2.0,29.08,-2.69,10.89,3.76,0.7,29.39,10.2,2.47,37.19,6.21,30.12,-11.33,67.31,-2.42,15.15,11.31,13.1,-5.65,2.55,79.7,1.67,48.84,3.9,14.34,3.16,0.89,12.57,6.59,1.45,45.15,206.8,-1.03,4.39,-2.49,2.18,29.61,1.68,0.12,1062.81,4.82,19.61,-5.59,4.81,15.93,53.23,5.77
West Coast Eagles,229.89,-3.23,-12.56,31.91,-18.6,29.42,-1.56,7.46,-28.92,0.56,3.51,6.9,-30.68,31.49,-10.07,29.64,-12.74,61.14,-11.37,13.52,-0.67,14.73,6.09,1.16,-18.25,1.13,0.71,4.03,18.15,4.16,32.82,10.89,-7.66,0.63,-36.94,202.84,-2.92,4.11,-8.71,1.5,-10.82,1.5,-10.61,1010.02,-0.38,21.27,2.4,3.65,-12.03,54.63,8.56
Western Bulldogs,300.33,-0.48,14.24,43.09,9.92,37.12,24.21,10.24,-2.43,0.87,60.81,9.36,-5.97,39.52,12.86,39.54,16.41,79.06,14.61,16.01,17.63,18.89,36.06,2.11,48.7,1.7,51.52,3.2,-6.19,3.21,2.49,14.62,23.97,1.11,11.11,208.41,-0.26,4.83,7.29,2.31,37.34,2.33,38.86,1138.31,12.27,25.93,24.83,6.04,45.58,58.98,17.2
League Average,262.897,0.0,0.0,39.203,0.0,29.885,0.0,10.495,0.0,0.541,0.0,9.954,0.0,35.016,0.0,33.967,0.0,68.98,0.0,13.611,0.0,13.884,0.0,1.419,0.0,1.122,0.0,3.411,0.0,3.132,0.0,11.793,0.0,0.999,0.0,208.951,0.0,4.502,0.0,1.682,0.0,1.678,0.0,1013.91,0.0,20.772,0.0,4.149,0.0,50.324,0.0
