opponent,kicks W Mean,kicks FP,kicks Scalar,handballs W Mean,handballs FP,handballs Scalar,marks W Mean,marks FP,marks Scalar,tackles W Mean,tackles FP,tackles Scalar,freesFor W Mean,freesFor FP,freesFor Scalar,freesAgainst W Mean,freesAgainst FP,freesAgainst Scalar,goals W Mean,goals FP,goals Scalar,behinds W Mean,behinds FP,behinds Scalar,disposals W Mean,disposals Scalar,uncontestedPossessions W Mean,uncontestedPossessions Scalar,contestedPossessions W Mean,contestedPossessions Scalar,contestedMarks W Mean,contestedMarks Scalar,uncontestedMarks W Mean,uncontestedMarks Scalar,clearances.totalClearances W Mean,clearances.totalClearances Scalar,hitouts W Mean,hitouts FP,hitouts Scalar,extendedStats.hitoutsToAdvantage W Mean,extendedStats.hitoutsToAdvantage Scalar,intercepts W Mean,intercepts Scalar,extendedStats.interceptMarks W Mean,extendedStats.interceptMarks Scalar,marksInside50 W Mean,marksInside50 Scalar,extendedStats.marksOnLead W Mean,extendedStats.marksOnLead Scalar,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints Scalar,dreamTeamPoints FP
Adelaide Crows,7.07,21.21,-6.9,6.5,13.0,-7.64,2.37,7.11,-20.97,4.04,16.16,9.31,1.38,1.38,-11.93,1.17,-3.51,-24.71,0.15,0.9,-58.22,0.39,0.39,41.82,13.57,-7.26,4.91,-13.25,8.62,-3.91,1.03,17.18,1.34,-36.76,4.0,-6.26,30.83,30.83,5.19,8.26,0.69,1.85,-24.83,0.64,-34.09,0.31,-27.23,0.2,38.89,87.54,6.11,-1.97,87.47
Brisbane Lions,6.3,18.9,-17.04,5.95,11.9,-15.46,2.69,8.07,-10.3,3.92,15.68,6.06,1.07,1.07,-31.72,1.73,-5.19,11.33,0.32,1.92,-10.86,0.06,0.06,-78.18,12.25,-16.28,4.57,-19.26,7.35,-18.07,0.76,-13.54,1.93,-8.92,3.44,-19.38,32.38,32.38,10.48,7.85,-4.3,2.24,-8.98,0.95,-2.16,0.28,-34.27,0.17,18.06,84.75,3.6,-5.09,84.79
Carlton,7.56,22.68,-0.45,7.35,14.7,4.43,2.43,7.29,-18.97,4.58,18.32,23.92,2.05,2.05,30.82,1.98,-5.94,27.41,0.26,1.56,-27.58,0.18,0.18,-34.55,14.91,1.9,5.48,-3.18,9.27,3.33,0.59,-32.88,1.84,-13.17,4.9,14.83,29.88,29.88,1.95,7.44,-9.3,2.42,-1.67,0.71,-26.88,0.51,19.72,0.04,-72.22,90.77,6.38,1.65,90.72
Collingwood,7.43,22.29,-2.16,7.12,14.24,1.17,2.77,8.31,-7.64,3.19,12.76,-13.69,1.77,1.77,12.95,2.03,-6.09,30.63,0.2,1.2,-44.29,0.3,0.3,9.09,14.55,-0.56,5.45,-3.71,8.98,0.1,0.75,-14.68,2.02,-4.67,4.44,4.05,26.97,26.97,-7.98,8.12,-1.01,2.36,-4.1,0.88,-9.37,0.18,-57.75,0.09,-37.5,81.71,2.12,-8.5,81.75
Essendon,7.43,22.29,-2.16,6.87,13.74,-2.39,3.24,9.72,8.04,2.94,11.76,-20.45,1.22,1.22,-22.14,1.91,-5.73,22.91,0.37,2.22,3.06,0.16,0.16,-41.82,14.3,-2.27,5.75,1.59,8.93,-0.46,0.76,-13.54,2.48,17.04,4.29,0.54,24.63,24.63,-15.96,7.12,-13.2,2.44,-0.85,1.03,6.08,0.41,-3.76,0.09,-37.5,80.04,3.63,-10.37,80.01
Fremantle,7.78,23.34,2.45,6.91,13.82,-1.82,3.28,9.84,9.37,4.22,16.88,14.18,1.46,1.46,-6.83,1.34,-4.02,-13.77,0.39,2.34,8.64,0.44,0.44,60.0,14.69,0.4,5.73,1.24,9.22,2.78,1.16,31.97,2.12,0.05,3.84,-10.01,31.52,31.52,7.54,8.54,4.11,2.84,15.4,1.15,18.43,0.52,22.07,0.08,-44.44,95.67,17.93,7.14,95.62
GWS GIANTS,7.91,23.73,4.16,7.67,15.34,8.98,3.06,9.18,2.03,3.51,14.04,-5.03,1.47,1.47,-6.19,0.83,-2.49,-46.59,0.28,1.68,-22.01,0.38,0.38,38.18,15.58,6.48,5.8,2.47,9.65,7.57,0.86,-2.16,2.2,3.82,4.53,6.16,28.16,28.16,-3.92,7.34,-10.52,2.62,6.46,1.05,8.14,0.57,33.8,0.06,-58.33,91.47,4.11,2.43,91.49
Geelong Cats,8.23,24.69,8.38,8.33,16.66,18.36,3.19,9.57,6.37,3.63,14.52,-1.79,1.38,1.38,-11.93,1.54,-4.62,-0.9,0.25,1.5,-30.36,0.23,0.23,-16.36,16.56,13.18,6.52,15.19,10.21,13.81,0.86,-2.16,2.33,9.96,4.67,9.44,36.52,36.52,24.6,10.48,27.76,2.49,1.18,1.08,11.23,0.27,-36.62,0.1,-30.56,100.45,10.56,12.49,100.45
Gold Coast SUNS,7.35,22.05,-3.21,7.01,14.02,-0.4,2.62,7.86,-12.64,3.96,15.84,7.14,1.46,1.46,-6.83,1.37,-4.11,-11.84,0.3,1.8,-16.43,0.25,0.25,-9.09,14.36,-1.86,4.91,-13.25,9.38,4.56,0.96,9.22,1.66,-21.66,4.99,16.94,25.81,25.81,-11.94,7.22,-11.98,2.65,7.68,1.03,6.08,0.38,-10.8,0.17,18.06,85.02,10.27,-4.79,84.98
Hawthorn,7.87,23.61,3.63,7.03,14.06,-0.11,3.25,9.75,8.37,4.42,17.68,19.59,1.55,1.55,-1.08,1.73,-5.19,11.33,0.24,1.44,-33.15,0.18,0.18,-34.55,14.9,1.83,5.6,-1.06,9.38,4.56,0.85,-3.3,2.4,13.26,4.75,11.32,30.53,30.53,4.17,9.05,10.33,2.5,1.58,0.95,-2.16,0.36,-15.49,0.2,38.89,93.63,5.44,4.85,93.61
Melbourne,6.97,20.91,-8.22,6.34,12.68,-9.92,2.78,8.34,-7.3,3.78,15.12,2.27,1.22,1.22,-22.14,2.14,-6.42,37.71,0.37,2.22,3.06,0.33,0.33,20.0,13.31,-9.03,5.56,-1.77,7.76,-13.5,0.92,4.66,1.87,-11.75,4.1,-3.91,24.88,24.88,-15.11,7.48,-8.81,2.42,-1.67,1.08,11.23,0.45,5.63,0.08,-44.44,79.3,2.71,-11.2,79.28
North Melbourne,6.82,20.46,-10.19,7.11,14.22,1.02,3.0,9.0,0.03,3.71,14.84,0.38,1.6,1.6,2.11,1.76,-5.28,13.26,0.65,3.9,81.06,0.18,0.18,-34.55,13.92,-4.87,6.16,8.83,7.78,-13.28,0.88,0.11,2.12,0.05,3.48,-18.44,26.94,26.94,-8.08,7.44,-9.3,2.29,-6.95,0.83,-14.52,0.66,54.93,0.18,25.0,85.8,4.68,-3.92,85.86
Port Adelaide,8.91,26.73,17.33,6.56,13.12,-6.79,2.9,8.7,-3.3,2.96,11.84,-19.91,2.23,2.23,42.31,1.04,-3.12,-33.08,0.46,2.76,28.13,0.32,0.32,16.36,15.47,5.73,5.85,3.36,9.56,6.57,0.78,-11.26,2.12,0.05,4.82,12.96,29.24,29.24,-0.24,7.89,-3.82,2.87,16.62,0.9,-7.31,0.36,-15.49,0.22,52.78,91.79,2.61,2.79,91.82
Richmond,7.52,22.56,-0.97,7.64,15.28,8.55,3.97,11.91,32.38,3.3,13.2,-10.71,1.54,1.54,-1.72,1.17,-3.51,-24.71,0.58,3.48,61.56,0.32,0.32,16.36,15.15,3.54,7.53,33.04,7.8,-13.05,0.68,-22.64,3.29,55.26,3.37,-21.02,26.38,26.38,-9.99,7.85,-4.3,2.68,8.9,1.13,16.37,0.56,31.46,0.29,101.39,91.15,5.49,2.08,91.16
St Kilda,6.77,20.31,-10.85,6.82,13.64,-3.1,2.82,8.46,-5.97,4.44,17.76,20.13,1.75,1.75,11.68,1.47,-4.41,-5.41,0.41,2.46,14.21,0.21,0.21,-23.64,13.59,-7.12,4.75,-16.08,8.71,-2.91,1.03,17.18,1.79,-15.53,3.35,-21.49,28.19,28.19,-3.82,8.27,0.82,2.58,4.84,1.03,6.08,0.42,-1.41,0.07,-51.39,88.4,7.79,-1.0,88.37
Sydney Swans,8.53,25.59,12.33,6.44,12.88,-8.5,3.01,9.03,0.37,3.0,12.0,-18.83,1.9,1.9,21.25,1.47,-4.41,-5.41,0.41,2.46,14.21,0.29,0.29,5.45,14.97,2.31,6.01,6.18,8.96,-0.12,0.82,-6.71,2.19,3.35,4.54,6.4,24.62,24.62,-16.0,6.62,-19.3,2.41,-2.07,1.04,7.11,0.34,-20.19,0.13,-9.72,84.42,-4.28,-5.46,84.36
West Coast Eagles,9.15,27.45,20.49,7.99,15.98,13.53,3.46,10.38,15.37,3.64,14.56,-1.52,1.63,1.63,4.02,1.92,-5.76,23.55,0.54,3.24,50.42,0.34,0.34,23.64,17.14,17.14,5.97,5.48,10.9,21.5,1.13,28.56,2.32,9.49,5.91,38.5,33.19,33.19,13.24,9.69,18.13,2.61,6.05,1.19,22.55,0.65,52.58,0.2,38.89,100.98,5.34,13.08,101.01
Western Bulldogs,7.1,21.3,-6.51,7.04,14.08,0.03,3.14,9.42,4.7,3.29,13.16,-10.98,1.52,1.52,-3.0,1.37,-4.11,-11.84,0.28,1.68,-22.01,0.39,0.39,41.82,14.15,-3.29,5.33,-5.83,9.01,0.43,1.01,14.9,2.13,0.52,3.39,-20.55,36.89,36.89,25.87,10.99,33.98,2.02,-17.92,0.81,-16.58,0.43,0.94,0.23,59.72,94.45,7.71,5.77,94.33
League Average,7.594,,0.0,7.038,,0.0,2.999,,0.0,3.696,,0.0,1.567,,0.0,1.554,,0.0,0.359,,0.0,0.275,,0.0,14.632,0.0,5.66,0.0,8.971,0.0,0.879,0.0,2.119,0.0,4.267,0.0,29.309,,0.0,8.203,0.0,2.461,0.0,0.971,0.0,0.426,0.0,0.144,0.0,89.297,0.0,0.0,89.28
