team.name,dreamTeamPoints W Mean,dreamTeamPoints Trend,dreamTeamPoints,uncontestedPossessions W Mean,uncontestedPossessions,contestedPossessions W Mean,contestedPossessions,marks W Mean,marks,contestedMarks W Mean,contestedMarks,uncontestedMarks W Mean,uncontestedMarks,kicks W Mean,kicks,handballs W Mean,handballs,disposals W Mean,disposals,tackles W Mean,tackles,clearances.totalClearances W Mean,clearances.totalClearances,goals W Mean,goals,behinds W Mean,behinds,freesFor W Mean,freesFor,freesAgainst W Mean,freesAgainst,hitouts W Mean,hitouts,extendedStats.hitoutsToAdvantage W Mean,extendedStats.hitoutsToAdvantage,intercepts W Mean,intercepts,extendedStats.interceptMarks W Mean,extendedStats.interceptMarks,marksInside50 W Mean,marksInside50,extendedStats.marksOnLead W Mean,extendedStats.marksOnLead
Adelaide Crows,88.89,-0.07,0.33,4.66,-17.04,6.19,-30.49,2.48,-16.72,0.73,-16.76,1.76,-16.31,6.13,-18.56,5.49,-21.54,11.63,-19.94,3.55,-3.3,3.05,-27.93,0.14,-60.78,0.14,-48.34,1.01,-35.05,1.32,-15.22,39.77,36.66,11.31,38.96,2.22,-9.13,1.0,3.52,0.23,-45.37,0.08,-44.44
Brisbane Lions,85.29,3.24,-3.74,3.16,-43.74,10.26,15.22,1.87,-37.21,0.84,-4.22,1.03,-51.02,7.02,-6.74,5.88,-15.96,12.91,-11.13,3.15,-14.19,5.48,29.49,0.38,6.44,0.19,-29.89,1.61,3.54,0.84,-46.05,32.67,12.26,7.81,-4.04,1.96,-19.77,0.64,-33.75,0.51,21.14,0.08,-44.44
Carlton,79.7,13.73,-10.05,5.12,-8.85,10.31,15.78,2.05,-31.16,0.62,-29.3,1.44,-31.53,7.72,2.56,7.58,8.33,15.3,5.32,2.77,-24.54,5.67,33.98,0.19,-46.78,0.34,25.46,1.63,4.82,1.65,5.97,25.94,-10.87,8.23,1.12,2.02,-17.31,0.63,-34.78,0.11,-73.87,0.05,-65.28
Collingwood,94.07,6.24,6.17,5.18,-7.78,9.8,10.05,4.43,48.76,1.8,105.25,2.63,25.06,9.57,27.14,5.68,-18.82,15.25,4.98,2.77,-24.54,3.62,-14.46,0.52,45.66,0.2,-26.2,2.04,31.19,1.37,-12.01,28.39,-2.45,7.64,-6.13,4.2,71.92,2.18,125.67,0.62,47.27,0.28,94.44
Essendon,69.69,7.7,-21.34,4.71,-16.15,6.64,-25.44,2.6,-12.69,0.91,3.76,1.69,-19.64,6.37,-15.37,5.42,-22.54,11.8,-18.77,2.38,-35.17,3.32,-21.55,0.48,34.45,0.43,58.67,1.48,-4.82,1.49,-4.3,22.09,-24.09,6.65,-18.29,1.46,-40.24,0.57,-40.99,0.43,2.14,0.27,87.5
Fremantle,80.51,-6.08,-9.13,6.11,8.78,9.03,1.4,1.92,-35.53,0.82,-6.5,1.1,-47.69,5.17,-31.31,9.49,35.63,14.65,0.85,2.9,-21.0,4.29,1.37,0.53,48.46,0.3,10.7,1.22,-21.54,1.35,-13.29,28.04,-3.65,8.17,0.38,2.03,-16.91,0.58,-39.96,0.48,14.01,0.12,-16.67
GWS GIANTS,89.09,6.86,0.55,4.1,-27.01,9.74,9.38,2.01,-32.51,0.42,-52.11,1.59,-24.39,7.93,5.35,6.66,-4.82,14.59,0.43,4.58,24.76,5.88,38.94,0.11,-69.19,0.49,80.81,1.17,-24.76,1.62,4.05,30.22,3.84,8.51,4.56,2.02,-17.31,0.83,-14.08,0.23,-45.37,0.05,-65.28
Geelong Cats,70.46,-0.06,-20.48,5.42,-3.51,6.67,-25.1,2.61,-12.36,0.63,-28.16,1.97,-6.32,6.09,-19.09,5.68,-18.82,11.77,-18.98,3.1,-15.55,2.75,-35.02,0.27,-24.37,0.17,-37.27,1.31,-15.76,1.51,-3.02,22.04,-24.27,5.7,-29.97,1.95,-20.18,0.69,-28.57,0.46,9.26,0.13,-9.72
Gold Coast SUNS,87.78,-0.93,-0.93,4.98,-11.34,9.14,2.64,2.44,-18.07,0.68,-22.46,1.76,-16.31,7.1,-5.67,7.0,0.04,14.1,-2.94,3.63,-1.12,4.17,-1.47,0.46,28.85,0.12,-55.72,1.57,0.96,1.44,-7.51,30.48,4.74,8.48,4.19,1.96,-19.77,0.54,-44.1,0.24,-42.99,0.13,-9.72
Hawthorn,79.17,13.01,-10.65,5.29,-5.82,7.36,-17.35,2.03,-31.83,0.61,-30.44,1.41,-32.95,4.95,-34.24,7.42,6.05,12.38,-14.78,3.21,-12.56,3.01,-28.88,0.33,-7.56,0.25,-7.75,1.27,-18.33,1.75,12.4,32.31,11.02,9.48,16.48,1.99,-18.54,0.65,-32.71,0.25,-40.62,0.13,-9.72
Melbourne,105.55,5.83,19.13,7.01,24.8,11.37,27.68,5.03,68.91,1.97,124.63,3.06,45.51,10.57,40.43,7.58,8.33,18.15,24.94,2.69,-26.72,4.59,8.46,0.51,42.86,0.41,51.29,2.12,36.33,1.15,-26.14,30.66,5.35,8.68,6.65,3.7,51.45,1.81,87.37,0.65,54.39,0.46,219.44
North Melbourne,107.64,23.39,21.49,5.25,-6.53,11.87,33.3,2.7,-9.34,0.85,-3.08,1.85,-12.03,7.77,3.23,9.3,32.91,17.07,17.51,6.68,81.97,6.09,43.9,0.33,-7.56,0.13,-52.03,2.23,43.41,2.35,50.93,33.62,15.52,8.74,7.38,2.62,7.25,1.04,7.66,0.36,-14.49,0.04,-72.22
Port Adelaide,75.77,11.28,-14.48,4.38,-22.02,5.47,-38.57,2.13,-28.48,0.43,-50.97,1.71,-18.69,4.81,-36.1,5.22,-25.4,10.03,-30.96,4.09,11.41,2.86,-32.42,0.34,-4.76,0.27,-0.37,1.1,-29.26,1.8,15.61,30.1,3.43,9.21,13.16,1.67,-31.64,0.55,-43.06,0.45,6.89,0.0,-100.0
Richmond,97.71,3.97,10.28,5.76,2.55,9.48,6.46,3.23,8.46,0.76,-13.34,2.48,17.93,7.6,0.97,8.03,14.76,15.64,7.66,5.06,37.84,4.39,3.73,0.13,-63.59,0.3,10.7,1.67,7.4,1.66,6.62,31.13,6.97,9.52,16.97,2.92,19.53,1.21,25.26,0.27,-35.87,0.09,-37.5
St Kilda,116.09,10.7,31.02,9.59,70.73,10.56,18.59,5.7,91.4,1.06,20.87,4.64,120.64,14.4,91.31,6.06,-13.39,20.46,40.84,4.34,18.22,5.56,31.38,0.6,68.07,0.35,29.15,1.89,21.54,2.01,29.09,26.49,-8.98,6.76,-16.94,3.41,39.58,1.6,65.63,0.75,78.15,0.26,80.56
Sydney Swans,92.59,17.51,4.5,6.17,9.85,11.22,26.0,2.25,-24.45,0.59,-32.73,1.66,-21.07,6.87,-8.73,10.42,48.92,17.29,19.02,4.53,23.4,4.66,10.11,0.09,-74.79,0.15,-44.65,1.85,18.97,2.18,40.01,30.27,4.01,8.38,2.96,2.55,4.38,0.54,-44.1,0.19,-54.87,0.06,-58.33
West Coast Eagles,67.54,-0.97,-23.77,4.05,-27.9,7.83,-12.07,1.87,-37.21,0.73,-16.76,1.14,-45.79,6.01,-20.15,5.43,-22.4,11.44,-21.25,2.91,-20.73,3.91,-7.61,0.18,-49.58,0.2,-26.2,1.32,-15.11,1.28,-17.79,22.64,-22.2,5.07,-37.71,1.83,-25.09,0.67,-30.64,0.23,-45.37,0.13,-9.72
Western Bulldogs,107.3,2.2,21.1,10.17,81.06,7.35,-17.46,6.26,110.21,1.33,51.65,4.94,134.9,9.4,24.88,7.61,8.76,17.02,17.16,3.73,1.61,2.87,-32.18,0.84,135.29,0.43,58.67,1.5,-3.54,1.26,-19.08,26.97,-7.33,8.17,0.38,3.47,42.04,1.66,71.84,1.12,166.03,0.24,66.67
League Average,88.602,0.0,0.0,5.617,0.0,8.905,0.0,2.978,0.0,0.877,0.0,2.103,0.0,7.527,0.0,6.997,0.0,14.527,0.0,3.671,0.0,4.232,0.0,0.357,0.0,0.271,0.0,1.555,0.0,1.557,0.0,29.102,0.0,8.139,0.0,2.443,0.0,0.966,0.0,0.421,0.0,0.144,0.0
