round.roundNumber,team.name,opponent,venue.name,PF_AVG,PF,PF_diff,Opp_PAPG,PA_diff,Venue_AVG,PPV_diff
1,Adelaide Crows,Gold Coast SUNS,People First Stadium,1539.83,1441.0,-6.42,1531.39,-5.9,1478.28,-2.52
2,Adelaide Crows,Geelong Cats,Adelaide Oval,1539.83,1630.0,5.86,1585.17,2.83,1511.26,7.86
3,Adelaide Crows,Fremantle,Optus Stadium,1539.83,1450.0,-5.83,1503.78,-3.58,1505.23,-3.67
4,Adelaide Crows,Melbourne,Adelaide Oval,1539.83,1576.0,2.35,1562.04,0.89,1511.26,4.28
5,Adelaide Crows,Carlton,Marvel Stadium,1539.83,1451.0,-5.77,1500.87,-3.32,1544.71,-6.07
6,Adelaide Crows,Essendon,Adelaide Oval,1539.83,1492.0,-3.11,1494.26,-0.15,1511.26,-1.27
7,Adelaide Crows,North Melbourne,Ninja Stadium,1539.83,1708.0,10.92,1545.13,10.54,1544.75,10.57
8,Adelaide Crows,Port Adelaide,Adelaide Oval,1539.83,1594.0,3.52,1431.43,11.36,1511.26,5.47
9,Adelaide Crows,Brisbane Lions,Adelaide Oval,1539.83,1498.0,-2.72,1464.22,2.31,1511.26,-0.88
10,Adelaide Crows,Collingwood,MCG,1539.83,1706.0,10.79,1549.78,10.08,1540.73,10.73
11,Adelaide Crows,West Coast Eagles,Adelaide Oval,1539.83,1761.0,14.36,1611.65,9.27,1511.26,16.53
12,Adelaide Crows,Hawthorn,MCG,1539.83,1557.0,1.12,1516.96,2.64,1540.73,1.06
13,Adelaide Crows,Richmond,Adelaide Oval,1539.83,1619.0,5.14,1652.3,-2.02,1511.26,7.13
14,Adelaide Crows,Sydney Swans,Adelaide Oval,1539.83,1467.0,-4.73,1486.57,-1.32,1511.26,-2.93
16,Adelaide Crows,GWS GIANTS,Adelaide Oval,1539.83,1528.0,-0.77,1448.04,5.52,1511.26,1.11
17,Adelaide Crows,Brisbane Lions,Gabba,1539.83,1461.0,-5.12,1464.22,-0.22,1509.23,-3.2
18,Adelaide Crows,St Kilda,Adelaide Oval,1539.83,1492.0,-3.11,1560.61,-4.4,1511.26,-1.27
19,Adelaide Crows,Essendon,Marvel Stadium,1539.83,1445.0,-6.16,1494.26,-3.3,1544.71,-6.45
20,Adelaide Crows,Hawthorn,Adelaide Oval,1539.83,1400.0,-9.08,1516.96,-7.71,1511.26,-7.36
21,Adelaide Crows,Geelong Cats,GMHBA Stadium,1539.83,1645.0,6.83,1585.17,3.77,1545.83,6.42
22,Adelaide Crows,Western Bulldogs,Adelaide Oval,1539.83,1667.0,8.26,1507.74,10.56,1511.26,10.31
23,Adelaide Crows,Port Adelaide,Adelaide Oval,1539.83,1397.0,-9.28,1431.43,-2.41,1511.26,-7.56
24,Adelaide Crows,Sydney Swans,SCG,1539.83,1431.0,-7.07,1486.57,-3.74,1504.32,-4.87
0,Brisbane Lions,Carlton,Gabba,1597.87,1458.0,-8.75,1500.87,-2.86,1509.23,-3.39
1,Brisbane Lions,Fremantle,Optus Stadium,1597.87,1544.0,-3.37,1503.78,2.67,1505.23,2.58
3,Brisbane Lions,Collingwood,Gabba,1597.87,1449.0,-9.32,1549.78,-6.5,1509.23,-3.99
4,Brisbane Lions,North Melbourne,Norwood Oval,1597.87,1635.0,2.32,1545.13,5.82,1589.5,2.86
5,Brisbane Lions,Melbourne,MCG,1597.87,1812.0,13.4,1562.04,16.0,1540.73,17.61
6,Brisbane Lions,Geelong Cats,Gabba,1597.87,1488.0,-6.88,1585.17,-6.13,1509.23,-1.41
7,Brisbane Lions,GWS GIANTS,Manuka Oval,1597.87,1335.0,-16.45,1448.04,-7.81,1524.17,-12.41
8,Brisbane Lions,Gold Coast SUNS,Gabba,1597.87,1781.0,11.46,1531.39,16.3,1509.23,18.01
9,Brisbane Lions,Adelaide Crows,Adelaide Oval,1597.87,1621.0,1.45,1507.87,7.5,1511.26,7.26
10,Brisbane Lions,Richmond,Gabba,1597.87,1869.0,16.97,1652.3,13.12,1509.23,23.84
11,Brisbane Lions,Hawthorn,Marvel Stadium,1597.87,1534.0,-4.0,1516.96,1.12,1544.71,-0.69
13,Brisbane Lions,Western Bulldogs,Marvel Stadium,1597.87,1691.0,5.83,1507.74,12.15,1544.71,9.47
14,Brisbane Lions,St Kilda,Gabba,1597.87,1633.0,2.2,1560.61,4.64,1509.23,8.2
15,Brisbane Lions,Port Adelaide,Adelaide Oval,1597.87,1769.0,10.71,1431.43,23.58,1511.26,17.05
16,Brisbane Lions,Melbourne,Gabba,1597.87,1630.0,2.01,1562.04,4.35,1509.23,8.0
17,Brisbane Lions,Adelaide Crows,Gabba,1597.87,1518.0,-5.0,1507.87,0.67,1509.23,0.58
18,Brisbane Lions,West Coast Eagles,Optus Stadium,1597.87,1548.0,-3.12,1611.65,-3.95,1505.23,2.84
19,Brisbane Lions,Sydney Swans,Gabba,1597.87,1539.0,-3.68,1486.57,3.53,1509.23,1.97
20,Brisbane Lions,Gold Coast SUNS,People First Stadium,1597.87,1774.0,11.02,1531.39,15.84,1478.28,20.0
21,Brisbane Lions,St Kilda,Marvel Stadium,1597.87,1637.0,2.45,1560.61,4.89,1544.71,5.97
22,Brisbane Lions,GWS GIANTS,Gabba,1597.87,1431.0,-10.44,1448.04,-1.18,1509.23,-5.18
23,Brisbane Lions,Collingwood,MCG,1597.87,1391.0,-12.95,1549.78,-10.25,1540.73,-9.72
24,Brisbane Lions,Essendon,Gabba,1597.87,1664.0,4.14,1494.26,11.36,1509.23,10.25
0,Carlton,Brisbane Lions,Gabba,1558.13,1489.0,-4.44,1464.22,1.69,1509.23,-1.34
1,Carlton,Richmond,MCG,1558.13,1586.0,1.79,1652.3,-4.01,1540.73,2.94
3,Carlton,North Melbourne,Marvel Stadium,1558.13,1666.0,6.92,1545.13,7.82,1544.71,7.85
4,Carlton,Fremantle,Adelaide Oval,1558.13,1635.0,4.93,1503.78,8.73,1511.26,8.19
5,Carlton,Adelaide Crows,Marvel Stadium,1558.13,1513.0,-2.9,1507.87,0.34,1544.71,-2.05
6,Carlton,GWS GIANTS,Marvel Stadium,1558.13,1508.0,-3.22,1448.04,4.14,1544.71,-2.38
7,Carlton,Geelong Cats,MCG,1558.13,1624.0,4.23,1585.17,2.45,1540.73,5.4
8,Carlton,Collingwood,MCG,1558.13,1527.0,-2.0,1549.78,-1.47,1540.73,-0.89
9,Carlton,Melbourne,MCG,1558.13,1512.0,-2.96,1562.04,-3.2,1540.73,-1.86
10,Carlton,Sydney Swans,SCG,1558.13,1418.0,-8.99,1486.57,-4.61,1504.32,-5.74
11,Carlton,Gold Coast SUNS,Marvel Stadium,1558.13,1781.0,14.3,1531.39,16.3,1544.71,15.3
12,Carlton,Port Adelaide,Adelaide Oval,1558.13,1528.0,-1.93,1431.43,6.75,1511.26,1.11
13,Carlton,Essendon,MCG,1558.13,1474.0,-5.4,1494.26,-1.36,1540.73,-4.33
15,Carlton,Geelong Cats,MCG,1558.13,1705.0,9.43,1585.17,7.56,1540.73,10.66
16,Carlton,Richmond,MCG,1558.13,1657.0,6.35,1652.3,0.28,1540.73,7.55
17,Carlton,GWS GIANTS,ENGIE Stadium,1558.13,1354.0,-13.1,1448.04,-6.49,1499.12,-9.68
18,Carlton,Western Bulldogs,Marvel Stadium,1558.13,1617.0,3.78,1507.74,7.25,1544.71,4.68
19,Carlton,North Melbourne,Marvel Stadium,1558.13,1413.0,-9.31,1545.13,-8.55,1544.71,-8.53
20,Carlton,Port Adelaide,Marvel Stadium,1558.13,1426.0,-8.48,1431.43,-0.38,1544.71,-7.68
21,Carlton,Collingwood,MCG,1558.13,1592.0,2.17,1549.78,2.72,1540.73,3.33
22,Carlton,Hawthorn,MCG,1558.13,1483.0,-4.82,1516.96,-2.24,1540.73,-3.75
23,Carlton,West Coast Eagles,Optus Stadium,1558.13,1708.0,9.62,1611.65,5.98,1505.23,13.47
24,Carlton,St Kilda,Marvel Stadium,1558.13,1621.0,4.03,1560.61,3.87,1544.71,4.94
0,Collingwood,GWS GIANTS,ENGIE Stadium,1477.39,1488.0,0.72,1448.04,2.76,1499.12,-0.74
1,Collingwood,Sydney Swans,MCG,1477.39,1457.0,-1.38,1486.57,-1.99,1540.73,-5.43
2,Collingwood,St Kilda,MCG,1477.39,1401.0,-5.17,1560.61,-10.23,1540.73,-9.07
3,Collingwood,Brisbane Lions,Gabba,1477.39,1516.0,2.61,1464.22,3.54,1509.23,0.45
4,Collingwood,Hawthorn,Adelaide Oval,1477.39,1529.0,3.49,1516.96,0.79,1511.26,1.17
6,Collingwood,Port Adelaide,MCG,1477.39,1509.0,2.14,1431.43,5.42,1540.73,-2.06
7,Collingwood,Essendon,MCG,1477.39,1393.0,-5.71,1494.26,-6.78,1540.73,-9.59
8,Collingwood,Carlton,MCG,1477.39,1497.0,1.33,1500.87,-0.26,1540.73,-2.84
9,Collingwood,West Coast Eagles,Marvel Stadium,1477.39,1601.0,8.37,1611.65,-0.66,1544.71,3.64
10,Collingwood,Adelaide Crows,MCG,1477.39,1604.0,8.57,1507.87,6.38,1540.73,4.11
11,Collingwood,Fremantle,Optus Stadium,1477.39,1587.0,7.42,1503.78,5.53,1505.23,5.43
12,Collingwood,Western Bulldogs,Marvel Stadium,1477.39,1514.0,2.48,1507.74,0.42,1544.71,-1.99
13,Collingwood,Melbourne,MCG,1477.39,1619.0,9.59,1562.04,3.65,1540.73,5.08
14,Collingwood,North Melbourne,Marvel Stadium,1477.39,1308.0,-11.47,1545.13,-15.35,1544.71,-15.32
16,Collingwood,Gold Coast SUNS,People First Stadium,1477.39,1432.0,-3.07,1531.39,-6.49,1478.28,-3.13
17,Collingwood,Essendon,MCG,1477.39,1406.0,-4.83,1494.26,-5.91,1540.73,-8.74
18,Collingwood,Geelong Cats,MCG,1477.39,1431.0,-3.14,1585.17,-9.73,1540.73,-7.12
19,Collingwood,Hawthorn,MCG,1477.39,1281.0,-13.29,1516.96,-15.55,1540.73,-16.86
20,Collingwood,Richmond,MCG,1477.39,1458.0,-1.31,1652.3,-11.76,1540.73,-5.37
21,Collingwood,Carlton,MCG,1477.39,1349.0,-8.69,1500.87,-10.12,1540.73,-12.44
22,Collingwood,Sydney Swans,SCG,1477.39,1433.0,-3.0,1486.57,-3.6,1504.32,-4.74
23,Collingwood,Brisbane Lions,MCG,1477.39,1506.0,1.94,1464.22,2.85,1540.73,-2.25
24,Collingwood,Melbourne,MCG,1477.39,1661.0,12.43,1562.04,6.34,1540.73,7.81
1,Essendon,Hawthorn,MCG,1609.09,1553.0,-3.49,1516.96,2.38,1540.73,0.8
2,Essendon,Sydney Swans,SCG,1609.09,1433.0,-10.94,1486.57,-3.6,1504.32,-4.74
3,Essendon,St Kilda,Marvel Stadium,1609.09,1771.0,10.06,1560.61,13.48,1544.71,14.65
4,Essendon,Port Adelaide,Adelaide Oval,1609.09,1538.0,-4.42,1431.43,7.45,1511.26,1.77
5,Essendon,Western Bulldogs,Marvel Stadium,1609.09,1565.0,-2.74,1507.74,3.8,1544.71,1.31
6,Essendon,Adelaide Crows,Adelaide Oval,1609.09,1589.0,-1.25,1507.87,5.38,1511.26,5.14
7,Essendon,Collingwood,MCG,1609.09,1597.0,-0.75,1549.78,3.05,1540.73,3.65
8,Essendon,West Coast Eagles,Optus Stadium,1609.09,1616.0,0.43,1611.65,0.27,1505.23,7.36
9,Essendon,GWS GIANTS,Marvel Stadium,1609.09,1680.0,4.41,1448.04,16.02,1544.71,8.76
10,Essendon,North Melbourne,Marvel Stadium,1609.09,1497.0,-6.97,1545.13,-3.11,1544.71,-3.09
11,Essendon,Richmond,MCG,1609.09,1620.0,0.68,1652.3,-1.95,1540.73,5.14
12,Essendon,Gold Coast SUNS,People First Stadium,1609.09,1556.0,-3.3,1531.39,1.61,1478.28,5.26
13,Essendon,Carlton,MCG,1609.09,1594.0,-0.94,1500.87,6.21,1540.73,3.46
15,Essendon,West Coast Eagles,Marvel Stadium,1609.09,1763.0,9.57,1611.65,9.39,1544.71,14.13
16,Essendon,Geelong Cats,MCG,1609.09,1529.0,-4.98,1585.17,-3.54,1540.73,-0.76
17,Essendon,Collingwood,MCG,1609.09,1809.0,12.42,1549.78,16.73,1540.73,17.41
18,Essendon,Melbourne,MCG,1609.09,1742.0,8.26,1562.04,11.52,1540.73,13.06
19,Essendon,Adelaide Crows,Marvel Stadium,1609.09,1619.0,0.62,1507.87,7.37,1544.71,4.81
20,Essendon,St Kilda,Marvel Stadium,1609.09,1416.0,-12.0,1560.61,-9.27,1544.71,-8.33
21,Essendon,Fremantle,MCG,1609.09,1614.0,0.31,1503.78,7.33,1540.73,4.76
22,Essendon,Gold Coast SUNS,Marvel Stadium,1609.09,1657.0,2.98,1531.39,8.2,1544.71,7.27
23,Essendon,Sydney Swans,Marvel Stadium,1609.09,1558.0,-3.18,1486.57,4.81,1544.71,0.86
24,Essendon,Brisbane Lions,Gabba,1609.09,1693.0,5.21,1464.22,15.62,1509.23,12.18
1,Fremantle,Brisbane Lions,Optus Stadium,1541.65,1653.0,7.22,1464.22,12.89,1505.23,9.82
2,Fremantle,North Melbourne,Marvel Stadium,1541.65,1523.0,-1.21,1545.13,-1.43,1544.71,-1.41
3,Fremantle,Adelaide Crows,Optus Stadium,1541.65,1670.0,8.33,1507.87,10.75,1505.23,10.95
4,Fremantle,Carlton,Adelaide Oval,1541.65,1561.0,1.26,1500.87,4.01,1511.26,3.29
5,Fremantle,Port Adelaide,Adelaide Oval,1541.65,1293.0,-16.13,1431.43,-9.67,1511.26,-14.44
6,Fremantle,West Coast Eagles,Optus Stadium,1541.65,1417.0,-8.09,1611.65,-12.08,1505.23,-5.86
7,Fremantle,Western Bulldogs,Optus Stadium,1541.65,1563.0,1.38,1507.74,3.67,1505.23,3.84
8,Fremantle,Richmond,MCG,1541.65,1788.0,15.98,1652.3,8.21,1540.73,16.05
9,Fremantle,Sydney Swans,Optus Stadium,1541.65,1415.0,-8.22,1486.57,-4.81,1505.23,-5.99
10,Fremantle,St Kilda,Marvel Stadium,1541.65,1630.0,5.73,1560.61,4.45,1544.71,5.52
11,Fremantle,Collingwood,Optus Stadium,1541.65,1722.0,11.7,1549.78,11.11,1505.23,14.4
12,Fremantle,Melbourne,TIO Traeger Park,1541.65,1971.0,27.85,1562.04,26.18,1713.0,15.06
14,Fremantle,Western Bulldogs,Marvel Stadium,1541.65,1284.0,-16.71,1507.74,-14.84,1544.71,-16.88
15,Fremantle,Gold Coast SUNS,Optus Stadium,1541.65,1489.0,-3.42,1531.39,-2.77,1505.23,-1.08
16,Fremantle,Sydney Swans,SCG,1541.65,1533.0,-0.56,1486.57,3.12,1504.32,1.91
17,Fremantle,Richmond,Optus Stadium,1541.65,1612.0,4.56,1652.3,-2.44,1505.23,7.09
18,Fremantle,Hawthorn,University of Tasmania Stadium,1541.65,1521.0,-1.34,1516.96,0.27,1475.62,3.08
19,Fremantle,Melbourne,Optus Stadium,1541.65,1531.0,-0.69,1562.04,-1.99,1505.23,1.71
20,Fremantle,West Coast Eagles,Optus Stadium,1541.65,1494.0,-3.09,1611.65,-7.3,1505.23,-0.75
21,Fremantle,Essendon,MCG,1541.65,1448.0,-6.07,1494.26,-3.1,1540.73,-6.02
22,Fremantle,Geelong Cats,Optus Stadium,1541.65,1595.0,3.46,1585.17,0.62,1505.23,5.96
23,Fremantle,GWS GIANTS,ENGIE Stadium,1541.65,1300.0,-15.67,1448.04,-10.22,1499.12,-13.28
24,Fremantle,Port Adelaide,Optus Stadium,1541.65,1445.0,-6.27,1431.43,0.95,1505.23,-4.0
0,GWS GIANTS,Collingwood,ENGIE Stadium,1572.3,1526.0,-2.94,1549.78,-1.53,1499.12,1.79
1,GWS GIANTS,North Melbourne,ENGIE Stadium,1572.3,1660.0,5.58,1545.13,7.43,1499.12,10.73
2,GWS GIANTS,West Coast Eagles,Optus Stadium,1572.3,1763.0,12.13,1611.65,9.39,1505.23,17.12
4,GWS GIANTS,Gold Coast SUNS,Adelaide Hills,1572.3,1458.0,-7.27,1531.39,-4.79,1476.0,-1.22
5,GWS GIANTS,St Kilda,Manuka Oval,1572.3,1556.0,-1.04,1560.61,-0.3,1524.17,2.09
6,GWS GIANTS,Carlton,Marvel Stadium,1572.3,1584.0,0.74,1500.87,5.54,1544.71,2.54
7,GWS GIANTS,Brisbane Lions,Manuka Oval,1572.3,1673.0,6.4,1464.22,14.26,1524.17,9.76
8,GWS GIANTS,Sydney Swans,SCG,1572.3,1411.0,-10.26,1486.57,-5.08,1504.32,-6.2
9,GWS GIANTS,Essendon,Marvel Stadium,1572.3,1448.0,-7.91,1494.26,-3.1,1544.71,-6.26
10,GWS GIANTS,Western Bulldogs,ENGIE Stadium,1572.3,1533.0,-2.5,1507.74,1.68,1499.12,2.26
11,GWS GIANTS,Geelong Cats,GMHBA Stadium,1572.3,1575.0,0.17,1585.17,-0.64,1545.83,1.89
13,GWS GIANTS,Hawthorn,University of Tasmania Stadium,1572.3,1450.0,-7.78,1516.96,-4.41,1475.62,-1.74
14,GWS GIANTS,Port Adelaide,ENGIE Stadium,1572.3,1568.0,-0.27,1431.43,9.54,1499.12,4.59
15,GWS GIANTS,Sydney Swans,ENGIE Stadium,1572.3,1575.0,0.17,1486.57,5.95,1499.12,5.06
16,GWS GIANTS,Adelaide Crows,Adelaide Oval,1572.3,1611.0,2.46,1507.87,6.84,1511.26,6.6
17,GWS GIANTS,Carlton,ENGIE Stadium,1572.3,1730.0,10.03,1500.87,15.27,1499.12,15.4
18,GWS GIANTS,Richmond,MCG,1572.3,1677.0,6.66,1652.3,1.49,1540.73,8.84
19,GWS GIANTS,Gold Coast SUNS,ENGIE Stadium,1572.3,1648.0,4.81,1531.39,7.61,1499.12,9.93
20,GWS GIANTS,Melbourne,MCG,1572.3,1656.0,5.32,1562.04,6.02,1540.73,7.48
21,GWS GIANTS,Hawthorn,Manuka Oval,1572.3,1529.0,-2.75,1516.96,0.79,1524.17,0.32
22,GWS GIANTS,Brisbane Lions,Gabba,1572.3,1412.0,-10.2,1464.22,-3.57,1509.23,-6.44
23,GWS GIANTS,Fremantle,ENGIE Stadium,1572.3,1659.0,5.51,1503.78,10.32,1499.12,10.66
24,GWS GIANTS,Western Bulldogs,Mars Stadium,1572.3,1461.0,-7.08,1507.74,-3.1,1504.0,-2.86
1,Geelong Cats,St Kilda,GMHBA Stadium,1535.35,1541.0,0.37,1560.61,-1.26,1545.83,-0.31
2,Geelong Cats,Adelaide Crows,Adelaide Oval,1535.35,1510.0,-1.65,1507.87,0.14,1511.26,-0.08
3,Geelong Cats,Hawthorn,MCG,1535.35,1700.0,10.72,1516.96,12.07,1540.73,10.34
4,Geelong Cats,Western Bulldogs,Adelaide Oval,1535.35,1523.0,-0.8,1507.74,1.01,1511.26,0.78
5,Geelong Cats,North Melbourne,GMHBA Stadium,1535.35,1475.0,-3.93,1545.13,-4.54,1545.83,-4.58
6,Geelong Cats,Brisbane Lions,Gabba,1535.35,1462.0,-4.78,1464.22,-0.15,1509.23,-3.13
7,Geelong Cats,Carlton,MCG,1535.35,1485.0,-3.28,1500.87,-1.06,1540.73,-3.62
8,Geelong Cats,Melbourne,MCG,1535.35,1474.0,-4.0,1562.04,-5.64,1540.73,-4.33
9,Geelong Cats,Port Adelaide,GMHBA Stadium,1535.35,1423.0,-7.32,1431.43,-0.59,1545.83,-7.95
10,Geelong Cats,Gold Coast SUNS,TIO Stadium,1535.35,1358.0,-11.55,1531.39,-11.32,1583.5,-14.24
11,Geelong Cats,GWS GIANTS,GMHBA Stadium,1535.35,1536.0,0.04,1448.04,6.07,1545.83,-0.64
12,Geelong Cats,Richmond,GMHBA Stadium,1535.35,1611.0,4.93,1652.3,-2.5,1545.83,4.22
13,Geelong Cats,Sydney Swans,SCG,1535.35,1388.0,-9.6,1486.57,-6.63,1504.32,-7.73
15,Geelong Cats,Carlton,MCG,1535.35,1423.0,-7.32,1500.87,-5.19,1540.73,-7.64
16,Geelong Cats,Essendon,MCG,1535.35,1698.0,10.59,1494.26,13.63,1540.73,10.21
17,Geelong Cats,Hawthorn,GMHBA Stadium,1535.35,1712.0,11.51,1516.96,12.86,1545.83,10.75
18,Geelong Cats,Collingwood,MCG,1535.35,1793.0,16.78,1549.78,15.69,1540.73,16.37
19,Geelong Cats,Western Bulldogs,GMHBA Stadium,1535.35,1466.0,-4.52,1507.74,-2.77,1545.83,-5.16
20,Geelong Cats,North Melbourne,Ninja Stadium,1535.35,1655.0,7.79,1545.13,7.11,1544.75,7.14
21,Geelong Cats,Adelaide Crows,GMHBA Stadium,1535.35,1497.0,-2.5,1507.87,-0.72,1545.83,-3.16
22,Geelong Cats,Fremantle,Optus Stadium,1535.35,1381.0,-10.05,1503.78,-8.16,1505.23,-8.25
23,Geelong Cats,St Kilda,Marvel Stadium,1535.35,1410.0,-8.16,1560.61,-9.65,1544.71,-8.72
24,Geelong Cats,West Coast Eagles,GMHBA Stadium,1535.35,1792.0,16.72,1611.65,11.19,1545.83,15.92
0,Gold Coast SUNS,Richmond,People First Stadium,1479.26,1570.0,6.13,1652.3,-4.98,1478.28,6.2
1,Gold Coast SUNS,Adelaide Crows,People First Stadium,1479.26,1478.0,-0.09,1507.87,-1.98,1478.28,-0.02
2,Gold Coast SUNS,Western Bulldogs,Mars Stadium,1479.26,1401.0,-5.29,1507.74,-7.08,1504.0,-6.85
4,Gold Coast SUNS,GWS GIANTS,Adelaide Hills,1479.26,1435.0,-2.99,1448.04,-0.9,1476.0,-2.78
5,Gold Coast SUNS,Hawthorn,People First Stadium,1479.26,1650.0,11.54,1516.96,8.77,1478.28,11.62
6,Gold Coast SUNS,Sydney Swans,SCG,1479.26,1428.0,-3.47,1486.57,-3.94,1504.32,-5.07
7,Gold Coast SUNS,West Coast Eagles,People First Stadium,1479.26,1543.0,4.31,1611.65,-4.26,1478.28,4.38
8,Gold Coast SUNS,Brisbane Lions,Gabba,1479.26,1250.0,-15.5,1464.22,-14.63,1509.23,-17.18
9,Gold Coast SUNS,North Melbourne,TIO Stadium,1479.26,1633.0,10.39,1545.13,5.69,1583.5,3.13
10,Gold Coast SUNS,Geelong Cats,TIO Stadium,1479.26,1863.0,25.94,1585.17,17.53,1583.5,17.65
11,Gold Coast SUNS,Carlton,Marvel Stadium,1479.26,1312.0,-11.31,1500.87,-12.58,1544.71,-15.06
12,Gold Coast SUNS,Essendon,People First Stadium,1479.26,1484.0,0.32,1494.26,-0.69,1478.28,0.39
13,Gold Coast SUNS,St Kilda,Marvel Stadium,1479.26,1659.0,12.15,1560.61,6.3,1544.71,7.4
15,Gold Coast SUNS,Fremantle,Optus Stadium,1479.26,1512.0,2.21,1503.78,0.55,1505.23,0.45
16,Gold Coast SUNS,Collingwood,People First Stadium,1479.26,1579.0,6.74,1549.78,1.89,1478.28,6.81
17,Gold Coast SUNS,North Melbourne,Marvel Stadium,1479.26,1322.0,-10.63,1545.13,-14.44,1544.71,-14.42
18,Gold Coast SUNS,Port Adelaide,People First Stadium,1479.26,1453.0,-1.78,1431.43,1.51,1478.28,-1.71
19,Gold Coast SUNS,GWS GIANTS,ENGIE Stadium,1479.26,1368.0,-7.52,1448.04,-5.53,1499.12,-8.75
20,Gold Coast SUNS,Brisbane Lions,People First Stadium,1479.26,1363.0,-7.86,1464.22,-6.91,1478.28,-7.8
21,Gold Coast SUNS,West Coast Eagles,Optus Stadium,1479.26,1346.0,-9.01,1611.65,-16.48,1505.23,-10.58
22,Gold Coast SUNS,Essendon,Marvel Stadium,1479.26,1476.0,-0.22,1494.26,-1.22,1544.71,-4.45
23,Gold Coast SUNS,Melbourne,People First Stadium,1479.26,1343.0,-9.21,1562.04,-14.02,1478.28,-9.15
24,Gold Coast SUNS,Richmond,MCG,1479.26,1555.0,5.12,1652.3,-5.89,1540.73,0.93
